Role,Context,Capability,Permission
R79,ctx18,res251_read,allow
R62,ctx1,res276_exe,allow
R3,ctx17,res355_exe,allow
R57,ctx10,res172_read,allow
R56,ctx17,res119_exe,allow
R60,ctx6,res439_exe,allow
R39,ctx8,res92_exe,allow
R19,ctx8,res115_read,allow
R37,ctx9,res67_exe,deny
R17,ctx1,res106_read,allow
R59,ctx12,res410_exe,allow
R54,ctx7,res493_read,allow
R40,ctx7,res243_exe,allow
R6,ctx17,res460_write,deny
R77,ctx6,res184_write,allow
R95,ctx18,res285_write,allow
R51,ctx12,res158_write,allow
R51,ctx8,res365_write,allow
R34,ctx14,res186_write,allow
R11,ctx16,res497_write,allow
R13,ctx12,res22_exe,allow
R48,ctx19,res119_write,deny
R45,ctx15,res407_exe,allow
R74,ctx3,res17_read,allow
R52,ctx10,res69_exe,allow
R16,ctx15,res69_exe,allow
R30,ctx6,res30_read,deny
R24,ctx6,res431_exe,allow
R90,ctx13,res238_write,allow
R16,ctx6,res259_exe,allow
R56,ctx8,res287_read,allow
R93,ctx6,res309_exe,deny
R94,ctx5,res213_write,allow
R46,ctx2,res204_read,allow
R65,ctx1,res11_exe,allow
R55,ctx2,res483_write,allow
R35,ctx10,res63_exe,deny
R27,ctx16,res26_read,allow
R100,ctx1,res200_exe,allow
R36,ctx3,res397_write,allow
R30,ctx16,res79_exe,allow
R66,ctx3,res236_exe,allow
R91,ctx9,res291_exe,allow
R4,ctx10,res58_exe,allow
R27,ctx4,res194_exe,deny
R59,ctx9,res56_exe,allow
R21,ctx8,res372_exe,allow
R59,ctx16,res74_read,deny
R23,ctx2,res330_write,allow
R26,ctx10,res191_read,allow
R7,ctx12,res121_exe,allow
R33,ctx17,res209_write,allow
R42,ctx13,res257_exe,deny
R30,ctx12,res415_exe,allow
R90,ctx10,res154_write,allow
R86,ctx16,res345_write,allow
R95,ctx15,res207_exe,allow
R51,ctx8,res365_exe,allow
R11,ctx7,res27_read,allow
R97,ctx9,res360_exe,allow
R45,ctx17,res433_write,allow
R70,ctx15,res122_read,deny
R67,ctx20,res168_write,deny
R35,ctx8,res19_exe,allow
R35,ctx3,res227_exe,deny
R29,ctx1,res374_write,allow
R40,ctx17,res405_exe,allow
R77,ctx6,res184_exe,allow
R78,ctx1,res211_exe,allow
R79,ctx12,res184_exe,allow
R61,ctx19,res157_read,allow
R40,ctx2,res169_write,allow
R49,ctx6,res322_exe,deny
R26,ctx12,res32_write,allow
R76,ctx18,res265_write,allow
R85,ctx3,res302_write,allow
R29,ctx7,res1_exe,deny
R31,ctx4,res170_exe,allow
R3,ctx4,res499_read,allow
R95,ctx10,res413_read,allow
R24,ctx14,res43_read,allow
R85,ctx7,res360_write,allow
R3,ctx13,res277_exe,allow
R87,ctx6,res361_read,allow
R33,ctx6,res348_exe,allow
R72,ctx3,res143_exe,allow
R52,ctx12,res230_exe,allow
R43,ctx15,res79_exe,allow
R20,ctx11,res201_exe,allow
R23,ctx19,res176_write,allow
R10,ctx6,res491_write,deny
R43,ctx20,res102_exe,allow
R11,ctx9,res45_write,allow
R59,ctx3,res79_exe,allow
R95,ctx16,res222_exe,allow
R13,ctx5,res83_exe,allow
R81,ctx13,res345_exe,allow
R47,ctx19,res97_read,allow
R14,ctx12,res499_read,allow
R2,ctx18,res157_exe,allow
R70,ctx12,res43_write,allow
R38,ctx19,res405_read,allow
R88,ctx14,res42_exe,allow
R45,ctx20,res250_write,allow
R18,ctx6,res94_exe,allow
R59,ctx10,res179_read,deny
R85,ctx8,res102_exe,allow
R56,ctx13,res48_write,allow
R47,ctx18,res283_write,allow
R44,ctx9,res329_exe,allow
R57,ctx17,res496_exe,deny
R58,ctx7,res339_read,allow
R24,ctx10,res219_read,allow
R72,ctx16,res436_exe,deny
R34,ctx10,res174_exe,deny
R56,ctx14,res331_exe,allow
R89,ctx12,res437_read,allow
R67,ctx2,res324_write,allow
R61,ctx12,res258_write,allow
R44,ctx18,res492_exe,allow
R93,ctx5,res319_write,allow
R59,ctx12,res410_write,deny
R56,ctx5,res95_exe,allow
R33,ctx19,res105_read,allow
R74,ctx8,res298_exe,allow
R7,ctx1,res139_exe,allow
R41,ctx13,res314_write,allow
R88,ctx6,res169_write,deny
R16,ctx7,res370_exe,allow
R80,ctx9,res361_exe,allow
R99,ctx8,res441_exe,allow
R65,ctx10,res446_exe,allow
R26,ctx14,res256_exe,allow
R7,ctx1,res139_write,allow
R42,ctx12,res499_exe,allow
R44,ctx16,res170_read,allow
R8,ctx13,res20_exe,allow
R44,ctx11,res327_exe,allow
R56,ctx15,res67_write,allow
R70,ctx12,res43_exe,allow
R95,ctx18,res285_exe,allow
R35,ctx11,res125_exe,allow
R86,ctx18,res443_write,allow
R73,ctx11,res423_read,allow
R23,ctx15,res331_exe,deny
R22,ctx4,res203_exe,allow
R15,ctx14,res448_read,allow
R43,ctx19,res10_write,allow
R86,ctx17,res209_write,allow
R33,ctx10,res320_exe,allow
R26,ctx14,res256_write,allow
R27,ctx20,res83_exe,deny
R63,ctx17,res492_read,allow
R81,ctx6,res47_write,allow
R54,ctx20,res84_read,allow
R11,ctx17,res380_write,allow
R15,ctx6,res483_exe,deny
R23,ctx4,res87_read,allow
R29,ctx17,res485_exe,allow
R98,ctx7,res349_exe,deny
R72,ctx12,res144_exe,allow
R74,ctx2,res27_exe,allow
R33,ctx18,res494_write,allow
R70,ctx14,res43_read,deny
R48,ctx6,res302_exe,deny
R16,ctx10,res346_exe,allow
R52,ctx1,res417_write,allow
R29,ctx11,res94_exe,allow
R97,ctx20,res393_read,deny
R26,ctx19,res87_exe,deny
R1,ctx3,res384_read,deny
R51,ctx2,res318_exe,allow
R8,ctx1,res376_exe,allow
R32,ctx2,res52_read,allow
R98,ctx10,res327_write,allow
R16,ctx12,res31_write,allow
R60,ctx3,res321_exe,allow
R36,ctx6,res297_write,allow
R16,ctx18,res470_exe,allow
R84,ctx18,res360_write,deny
R11,ctx13,res78_write,deny
R86,ctx9,res269_exe,allow
R14,ctx4,res363_exe,allow
R82,ctx16,res375_exe,allow
R45,ctx1,res369_write,allow
R73,ctx6,res454_exe,deny
R85,ctx2,res187_exe,allow
R100,ctx4,res14_write,allow
R85,ctx7,res360_exe,deny
R92,ctx5,res106_write,allow
R12,ctx10,res213_write,deny
R83,ctx6,res181_write,allow
R7,ctx17,res285_exe,deny
R34,ctx18,res63_read,allow
R32,ctx16,res419_write,allow
R27,ctx7,res452_read,allow
R93,ctx6,res309_write,allow
R82,ctx3,res232_exe,allow
R37,ctx17,res71_write,allow
R45,ctx12,res75_write,deny
R83,ctx2,res229_exe,allow
R68,ctx2,res116_exe,allow
R36,ctx14,res480_write,allow
R56,ctx12,res482_read,allow
R18,ctx14,res404_write,allow
R66,ctx16,res148_exe,allow
R55,ctx15,res32_write,allow
R12,ctx3,res217_exe,deny
R47,ctx13,res294_exe,allow
R17,ctx6,res1_exe,allow
R100,ctx5,res408_write,allow
R16,ctx12,res31_exe,allow
R71,ctx3,res124_exe,allow
R23,ctx13,res210_write,allow
R79,ctx17,res193_exe,allow
R82,ctx11,res140_exe,allow
R86,ctx18,res443_exe,allow
R38,ctx1,res276_write,deny
R42,ctx17,res409_write,deny
R53,ctx6,res93_exe,allow
R89,ctx1,res36_write,allow
R21,ctx14,res140_exe,allow
R22,ctx3,res221_read,allow
R10,ctx8,res256_write,deny
R86,ctx20,res371_exe,allow
R43,ctx1,res10_exe,allow
R92,ctx1,res223_read,allow
R30,ctx10,res440_read,allow
R100,ctx12,res54_write,allow
R69,ctx20,res134_read,allow
R77,ctx14,res273_read,allow
R53,ctx11,res138_read,allow
R59,ctx11,res82_exe,allow
R13,ctx5,res83_write,deny
R79,ctx11,res479_write,allow
R60,ctx4,res473_write,allow
R18,ctx19,res23_write,allow
R37,ctx15,res207_write,allow
R28,ctx18,res320_read,allow
R60,ctx17,res273_write,deny
R31,ctx6,res342_write,allow
R59,ctx20,res193_write,allow
R97,ctx14,res277_exe,allow
R88,ctx11,res411_exe,allow
R59,ctx11,res82_write,allow
R13,ctx2,res474_exe,allow
R79,ctx17,res193_write,allow
R87,ctx10,res278_read,allow
R28,ctx10,res214_write,deny
R80,ctx6,res220_read,allow
R32,ctx15,res300_exe,allow
R16,ctx17,res463_write,deny
R76,ctx14,res314_write,allow
R30,ctx2,res485_exe,allow
R35,ctx5,res128_exe,allow
R75,ctx11,res492_read,allow
R16,ctx7,res370_write,deny
R27,ctx10,res383_exe,deny
R5,ctx6,res318_exe,deny
R60,ctx4,res473_exe,deny
R66,ctx5,res269_read,allow
R36,ctx7,res124_exe,deny
R5,ctx11,res115_exe,allow
R7,ctx9,res84_read,allow
R45,ctx11,res90_exe,allow
R21,ctx15,res156_exe,allow
R41,ctx5,res115_exe,deny
R32,ctx17,res254_exe,allow
R24,ctx16,res121_exe,allow
R13,ctx11,res329_exe,allow
R9,ctx19,res221_read,allow
R75,ctx18,res466_exe,deny
R53,ctx10,res211_read,allow
R35,ctx17,res194_write,allow
R84,ctx7,res399_exe,allow
R57,ctx13,res256_read,allow
R26,ctx12,res32_exe,deny
R76,ctx8,res200_exe,deny
R9,ctx1,res104_write,allow
R51,ctx10,res243_write,allow
R40,ctx7,res243_write,allow
R1,ctx17,res229_exe,deny
R74,ctx14,res220_exe,allow
R93,ctx5,res319_exe,allow
R49,ctx11,res446_exe,allow
R49,ctx19,res291_exe,allow
R91,ctx5,res79_exe,allow
R24,ctx2,res6_exe,deny
R17,ctx12,res159_exe,allow
R5,ctx19,res29_write,deny
R39,ctx5,res45_write,allow
R64,ctx17,res358_write,allow
R55,ctx8,res51_exe,deny
R5,ctx5,res52_write,allow
R79,ctx13,res131_read,allow
R71,ctx14,res281_read,allow
R68,ctx11,res478_read,allow
R30,ctx3,res32_exe,allow
R47,ctx4,res271_exe,allow
R93,ctx13,res187_write,allow
R84,ctx15,res218_write,allow
R8,ctx16,res470_exe,allow
R87,ctx16,res31_exe,deny
R14,ctx7,res36_write,allow
R91,ctx17,res17_read,allow
R28,ctx10,res214_exe,deny
R32,ctx3,res487_write,allow
R95,ctx17,res446_write,deny
R21,ctx8,res372_write,allow
R24,ctx15,res82_exe,allow
R57,ctx2,res66_write,allow
R46,ctx11,res92_read,allow
R62,ctx1,res276_write,allow
R46,ctx20,res419_write,allow
R16,ctx8,res405_write,deny
R88,ctx17,res156_read,allow
R82,ctx2,res176_write,allow
R2,ctx16,res79_exe,allow
R25,ctx8,res277_read,allow
R36,ctx1,res138_read,allow
R48,ctx3,res200_exe,deny
R4,ctx8,res110_exe,allow
R10,ctx3,res121_exe,allow
R14,ctx20,res213_exe,allow
R39,ctx15,res197_exe,deny
R44,ctx9,res329_write,allow
R19,ctx2,res256_exe,allow
R14,ctx5,res212_exe,allow
R28,ctx6,res443_exe,allow
R65,ctx18,res282_read,allow
R84,ctx18,res360_exe,deny
R35,ctx17,res194_exe,allow
R1,ctx18,res97_read,allow
R92,ctx20,res296_read,allow
R37,ctx11,res491_write,allow
R11,ctx6,res220_read,deny
R12,ctx4,res128_write,allow
R2,ctx9,res128_exe,allow
R10,ctx3,res121_write,allow
R53,ctx4,res190_write,deny
R46,ctx14,res446_write,allow
R14,ctx18,res473_write,allow
R20,ctx5,res89_write,allow
R60,ctx19,res456_exe,allow
R92,ctx16,res193_read,deny
R96,ctx16,res279_read,allow
R87,ctx12,res311_write,allow
R86,ctx17,res209_exe,allow
R25,ctx18,res465_exe,allow
R49,ctx16,res30_read,deny
R8,ctx1,res376_write,deny
R50,ctx15,res375_write,allow
R99,ctx4,res497_exe,allow
R100,ctx15,res58_exe,allow
R67,ctx4,res245_read,allow
R19,ctx1,res266_exe,allow
R88,ctx10,res140_read,deny
R31,ctx20,res365_exe,allow
R31,ctx12,res137_read,allow
R34,ctx9,res481_read,allow
R21,ctx19,res16_read,deny
R100,ctx11,res280_write,deny
