Role,Context,Capability,Permission
R77,ctx9,res461_exe,allow
R30,ctx3,res378_write,allow
R20,ctx20,res168_write,allow
R95,ctx14,res121_exe,allow
R38,ctx4,res202_write,allow
R48,ctx9,res48_exe,allow
R2,ctx3,res35_exe,deny
R40,ctx11,res130_exe,allow
R32,ctx16,res465_exe,allow
R78,ctx10,res422_write,allow
R22,ctx11,res271_write,deny
R89,ctx1,res365_read,allow
R48,ctx20,res113_write,allow
R18,ctx20,res266_write,allow
R30,ctx8,res201_write,allow
R84,ctx20,res344_read,allow
R34,ctx1,res240_exe,allow
R47,ctx9,res276_exe,allow
R18,ctx19,res438_exe,allow
R42,ctx12,res151_exe,allow
R6,ctx12,res346_write,allow
R39,ctx2,res74_read,allow
R54,ctx9,res38_write,allow
R60,ctx17,res467_write,allow
R81,ctx20,res219_exe,allow
R24,ctx1,res451_write,allow
R49,ctx14,res88_exe,allow
R25,ctx6,res383_exe,deny
R90,ctx17,res236_exe,allow
R51,ctx5,res260_exe,allow
R68,ctx10,res330_write,allow
R76,ctx18,res418_exe,allow
R49,ctx19,res379_write,allow
R85,ctx18,res418_exe,allow
R18,ctx15,res359_exe,deny
R79,ctx15,res162_write,allow
R22,ctx13,res58_exe,allow
R56,ctx20,res221_exe,allow
R16,ctx14,res493_exe,allow
R74,ctx1,res405_exe,deny
R1,ctx19,res177_write,allow
R59,ctx15,res409_write,allow
R5,ctx11,res47_write,allow
R97,ctx1,res22_read,deny
R47,ctx3,res108_write,allow
R21,ctx14,res231_exe,allow
R9,ctx12,res268_write,allow
R56,ctx19,res398_write,allow
R70,ctx4,res238_exe,deny
R52,ctx12,res440_write,allow
R79,ctx11,res128_exe,deny
R62,ctx12,res278_exe,allow
R99,ctx18,res151_exe,allow
R61,ctx17,res242_write,allow
R97,ctx19,res50_write,allow
R73,ctx12,res349_write,allow
R23,ctx4,res411_exe,allow
R54,ctx16,res87_read,allow
R7,ctx12,res130_read,allow
R16,ctx14,res493_write,allow
R48,ctx8,res35_exe,allow
R33,ctx4,res277_write,allow
R24,ctx4,res9_write,allow
R60,ctx1,res304_write,deny
R39,ctx19,res263_read,allow
R18,ctx9,res487_write,allow
R74,ctx15,res448_write,allow
R86,ctx17,res473_read,allow
R20,ctx5,res429_exe,allow
R2,ctx16,res431_exe,allow
R47,ctx15,res282_exe,deny
R67,ctx7,res324_exe,allow
R45,ctx17,res258_exe,deny
R24,ctx15,res47_write,allow
R99,ctx10,res375_write,deny
R58,ctx1,res59_read,allow
R58,ctx17,res120_read,allow
R18,ctx7,res339_read,allow
R97,ctx11,res291_write,allow
R96,ctx4,res175_write,allow
R60,ctx10,res39_exe,allow
R97,ctx20,res354_write,deny
R100,ctx19,res59_read,allow
R56,ctx2,res28_write,deny
R14,ctx2,res450_exe,allow
R41,ctx10,res378_write,deny
R63,ctx17,res420_write,deny
R26,ctx15,res242_write,allow
R69,ctx1,res19_exe,allow
R90,ctx10,res316_exe,allow
R57,ctx7,res418_exe,allow
R87,ctx1,res120_write,allow
R66,ctx3,res350_read,allow
R76,ctx14,res407_write,allow
R99,ctx16,res476_write,allow
R91,ctx4,res269_read,deny
R41,ctx4,res262_write,allow
R32,ctx8,res22_write,allow
R40,ctx18,res230_read,deny
R3,ctx10,res107_write,allow
R73,ctx20,res182_exe,deny
R12,ctx19,res384_exe,allow
R79,ctx7,res293_write,allow
R83,ctx14,res123_read,allow
R70,ctx11,res369_exe,allow
R12,ctx9,res337_read,allow
R60,ctx17,res467_exe,deny
R51,ctx6,res267_read,allow
R99,ctx10,res375_exe,allow
R56,ctx14,res292_exe,deny
R60,ctx15,res145_write,allow
R7,ctx5,res361_exe,allow
R27,ctx4,res435_write,deny
R21,ctx2,res302_read,allow
R71,ctx7,res127_write,allow
R29,ctx15,res63_read,allow
R87,ctx15,res458_read,allow
R33,ctx6,res91_exe,allow
R31,ctx4,res396_exe,allow
R75,ctx18,res417_read,deny
R79,ctx4,res230_exe,allow
R78,ctx19,res344_read,allow
R13,ctx15,res422_write,deny
R38,ctx1,res286_read,allow
R38,ctx6,res125_exe,allow
R94,ctx1,res382_write,deny
R38,ctx14,res492_read,allow
R64,ctx17,res198_read,allow
R18,ctx2,res365_exe,deny
R75,ctx12,res5_exe,allow
R93,ctx18,res239_read,deny
R68,ctx18,res383_read,deny
R22,ctx15,res371_read,allow
R57,ctx13,res489_exe,deny
R98,ctx14,res37_write,allow
R98,ctx13,res265_write,allow
R46,ctx7,res131_exe,deny
R17,ctx11,res415_write,allow
R42,ctx1,res155_write,allow
R44,ctx4,res469_read,deny
R80,ctx14,res81_write,allow
R45,ctx7,res194_read,deny
R96,ctx3,res208_write,allow
R91,ctx16,res74_exe,allow
R30,ctx15,res320_write,deny
R72,ctx7,res84_exe,allow
R19,ctx14,res329_exe,deny
