Role,Context,Capability,Permission
R94,ctx1,res43_exe,allow
R86,ctx1,res253_exe,allow
R59,ctx17,res356_write,allow
R72,ctx13,res199_write,allow
R81,ctx15,res444_exe,allow
R70,ctx16,res342_exe,deny
R78,ctx10,res364_exe,allow
R29,ctx10,res238_exe,allow
R74,ctx16,res33_exe,deny
R14,ctx7,res118_read,allow
R82,ctx6,res487_exe,allow
R53,ctx16,res97_read,allow
R93,ctx19,res122_write,deny
R98,ctx16,res392_read,allow
R73,ctx2,res127_exe,allow
R95,ctx10,res321_write,allow
R72,ctx16,res110_exe,allow
R42,ctx12,res27_read,deny
R68,ctx10,res304_exe,allow
R9,ctx16,res419_read,allow
R69,ctx11,res447_write,allow
R3,ctx4,res473_read,allow
R57,ctx16,res404_exe,allow
R56,ctx9,res16_exe,deny
R56,ctx11,res349_write,allow
R43,ctx20,res108_write,allow
R34,ctx3,res227_exe,allow
R84,ctx13,res127_write,allow
R23,ctx2,res158_exe,allow
R31,ctx3,res264_exe,allow
R88,ctx10,res365_exe,allow
R43,ctx13,res338_write,allow
R86,ctx20,res368_read,allow
R58,ctx15,res136_exe,allow
R45,ctx1,res449_read,allow
R27,ctx15,res23_write,allow
R81,ctx3,res303_read,allow
R44,ctx18,res134_exe,deny
R7,ctx1,res437_write,allow
R40,ctx12,res28_exe,deny
R41,ctx11,res293_exe,allow
R96,ctx19,res141_write,allow
R58,ctx7,res176_exe,allow
R70,ctx9,res72_exe,allow
R61,ctx10,res163_exe,deny
R66,ctx16,res178_write,allow
R96,ctx15,res77_exe,allow
R27,ctx13,res123_exe,allow
R34,ctx18,res334_exe,allow
R54,ctx20,res460_write,allow
R5,ctx2,res15_exe,allow
R23,ctx5,res374_exe,allow
R79,ctx11,res337_read,allow
R95,ctx4,res455_read,allow
R84,ctx3,res59_exe,allow
R85,ctx2,res399_read,allow
R27,ctx13,res28_exe,deny
R51,ctx5,res75_read,allow
R44,ctx6,res324_exe,allow
R92,ctx15,res193_read,allow
R54,ctx3,res316_write,allow
R3,ctx1,res167_exe,allow
R84,ctx8,res40_read,deny
R28,ctx5,res178_exe,allow
R10,ctx6,res374_write,allow
R86,ctx5,res442_exe,allow
R49,ctx14,res443_read,allow
R3,ctx16,res18_read,deny
R69,ctx17,res21_exe,allow
R57,ctx4,res308_exe,allow
R54,ctx7,res487_exe,allow
R3,ctx7,res291_exe,allow
R26,ctx6,res53_exe,allow
R96,ctx15,res77_write,allow
R49,ctx16,res328_write,allow
R64,ctx1,res173_exe,allow
R15,ctx9,res326_exe,allow
R20,ctx12,res272_write,allow
R35,ctx8,res167_exe,deny
R99,ctx16,res167_write,allow
R59,ctx17,res356_exe,allow
R75,ctx17,res44_exe,allow
R94,ctx9,res42_exe,allow
R25,ctx18,res89_exe,allow
R16,ctx13,res73_exe,allow
R25,ctx2,res179_exe,allow
R83,ctx20,res491_write,deny
R2,ctx8,res244_write,deny
R30,ctx2,res16_exe,allow
R24,ctx5,res269_exe,deny
R67,ctx15,res80_write,allow
R66,ctx5,res73_exe,allow
R22,ctx13,res305_exe,allow
R71,ctx16,res314_exe,allow
R85,ctx11,res351_read,allow
R80,ctx18,res51_write,allow
R47,ctx18,res236_write,allow
R35,ctx10,res446_exe,allow
R66,ctx7,res371_exe,deny
R33,ctx8,res261_exe,allow
R44,ctx2,res270_exe,allow
R36,ctx16,res149_exe,allow
R77,ctx15,res375_exe,deny
R83,ctx18,res128_exe,allow
R5,ctx15,res22_read,allow
R22,ctx17,res324_exe,deny
R53,ctx19,res270_exe,allow
R56,ctx17,res467_exe,allow
R31,ctx4,res125_exe,allow
R47,ctx5,res330_exe,allow
R97,ctx3,res465_write,allow
R16,ctx14,res481_exe,allow
R1,ctx19,res107_write,allow
R61,ctx17,res228_exe,deny
R75,ctx19,res102_read,allow
R5,ctx2,res15_write,allow
R8,ctx12,res147_read,deny
R68,ctx20,res432_write,allow
R51,ctx3,res337_write,allow
R71,ctx7,res84_read,allow
R63,ctx18,res500_exe,deny
R33,ctx16,res427_exe,deny
R61,ctx7,res278_read,allow
R93,ctx15,res457_read,allow
R33,ctx4,res323_exe,allow
R72,ctx13,res360_exe,allow
R49,ctx2,res280_read,allow
R22,ctx13,res250_read,allow
R63,ctx7,res386_exe,allow
R25,ctx18,res89_write,deny
R90,ctx14,res134_read,allow
R3,ctx9,res192_write,allow
