Role,Context,Capability,Permission
R17,ctx7,res89_write,allow
R3,ctx14,res37_write,allow
R23,ctx19,res286_exe,allow
R89,ctx4,res334_write,allow
R48,ctx3,res380_read,allow
R68,ctx18,res423_write,allow
R53,ctx12,res261_write,allow
R9,ctx11,res420_read,allow
R51,ctx18,res377_read,allow
R15,ctx6,res340_exe,allow
R74,ctx9,res43_read,allow
R5,ctx1,res325_write,allow
R52,ctx8,res156_read,allow
R70,ctx9,res219_exe,deny
R56,ctx2,res217_read,allow
R10,ctx16,res432_exe,allow
R12,ctx3,res289_write,deny
R75,ctx12,res191_exe,deny
R63,ctx8,res33_write,allow
R96,ctx19,res66_exe,deny
R3,ctx4,res303_exe,allow
R29,ctx7,res480_exe,allow
R9,ctx4,res451_read,allow
R52,ctx17,res392_write,allow
R68,ctx9,res291_write,allow
R20,ctx18,res229_write,deny
R27,ctx14,res83_exe,allow
R66,ctx5,res478_read,allow
R27,ctx7,res311_write,allow
R57,ctx18,res83_exe,allow
R17,ctx2,res496_write,allow
R24,ctx18,res361_read,allow
R12,ctx9,res231_write,allow
R9,ctx19,res231_write,allow
R60,ctx7,res134_exe,allow
R11,ctx20,res360_exe,allow
R81,ctx2,res184_write,allow
R44,ctx6,res398_write,deny
R40,ctx18,res320_read,allow
R16,ctx15,res88_write,allow
R46,ctx15,res328_read,deny
R96,ctx2,res245_read,allow
R55,ctx18,res268_exe,allow
R69,ctx13,res219_read,allow
R23,ctx11,res412_read,allow
R98,ctx19,res166_read,allow
R62,ctx16,res9_write,deny
R3,ctx19,res459_read,allow
R69,ctx7,res46_write,deny
R61,ctx6,res352_write,allow
R46,ctx4,res278_exe,allow
R50,ctx5,res95_exe,allow
R93,ctx10,res90_write,allow
R44,ctx1,res219_write,allow
R2,ctx16,res296_read,allow
R31,ctx4,res421_read,allow
R1,ctx18,res491_exe,allow
R64,ctx9,res498_exe,allow
R3,ctx2,res479_write,deny
R36,ctx15,res104_exe,allow
R43,ctx5,res346_exe,allow
R49,ctx4,res469_write,allow
R26,ctx10,res107_write,allow
R36,ctx6,res122_write,deny
R7,ctx19,res240_exe,allow
R94,ctx5,res220_write,deny
R64,ctx18,res131_exe,allow
R48,ctx20,res353_read,allow
R2,ctx3,res427_write,allow
R85,ctx12,res176_exe,allow
R25,ctx13,res270_write,allow
R76,ctx9,res201_read,allow
R95,ctx10,res333_read,deny
R96,ctx15,res192_write,allow
R52,ctx10,res257_write,allow
R85,ctx2,res496_read,allow
R13,ctx15,res148_exe,allow
R97,ctx3,res83_write,allow
R77,ctx15,res92_exe,allow
R85,ctx17,res363_exe,allow
R26,ctx14,res454_exe,deny
R22,ctx9,res147_exe,deny
R45,ctx17,res436_read,allow
R60,ctx3,res463_write,allow
R62,ctx1,res399_exe,allow
R70,ctx18,res494_read,allow
R97,ctx14,res209_read,allow
R36,ctx16,res171_exe,allow
R17,ctx6,res401_exe,allow
R1,ctx11,res354_exe,allow
R28,ctx18,res347_exe,allow
R67,ctx8,res205_exe,allow
R25,ctx14,res29_write,allow
R24,ctx15,res96_exe,allow
R77,ctx6,res29_write,allow
R74,ctx15,res188_read,allow
R36,ctx14,res216_exe,deny
R16,ctx17,res153_exe,allow
R61,ctx16,res110_read,allow
R100,ctx2,res159_write,allow
R54,ctx1,res223_exe,allow
R49,ctx9,res482_exe,allow
R58,ctx1,res174_write,allow
R16,ctx8,res187_read,allow
R2,ctx2,res445_exe,allow
R69,ctx20,res345_exe,allow
R53,ctx16,res212_exe,deny
R74,ctx6,res399_read,allow
R79,ctx9,res119_exe,allow
R82,ctx14,res319_exe,deny
R75,ctx15,res218_exe,allow
R8,ctx2,res3_exe,allow
R10,ctx18,res423_exe,deny
R97,ctx19,res114_read,allow
R97,ctx9,res81_write,allow
R8,ctx11,res393_write,allow
R55,ctx9,res207_exe,deny
R78,ctx18,res195_exe,allow
R32,ctx17,res262_exe,allow
R46,ctx4,res278_write,allow
R82,ctx11,res264_write,allow
R72,ctx6,res78_write,allow
R9,ctx16,res276_exe,allow
R32,ctx3,res162_write,allow
R61,ctx17,res123_read,allow
R78,ctx1,res404_write,allow
R35,ctx18,res197_write,allow
R70,ctx8,res322_read,deny
R27,ctx4,res470_read,allow
R56,ctx14,res332_read,allow
R61,ctx12,res480_read,allow
R41,ctx8,res129_write,allow
R58,ctx7,res135_write,deny
R36,ctx20,res263_read,allow
R57,ctx18,res83_write,allow
R57,ctx4,res80_read,allow
R81,ctx3,res436_read,allow
R12,ctx11,res456_exe,allow
R82,ctx20,res362_read,deny
R3,ctx10,res461_read,allow
R79,ctx3,res57_exe,deny
R5,ctx7,res481_read,deny
R60,ctx19,res372_exe,allow
R69,ctx17,res415_read,allow
R49,ctx16,res267_write,allow
R32,ctx18,res131_exe,deny
R40,ctx11,res492_write,deny
R73,ctx10,res116_exe,allow
R99,ctx8,res376_exe,allow
R33,ctx20,res225_read,allow
R80,ctx11,res138_read,allow
R18,ctx2,res381_exe,allow
R40,ctx11,res492_exe,allow
R87,ctx3,res16_write,allow
R41,ctx16,res230_exe,allow
R43,ctx2,res485_read,allow
R83,ctx15,res280_exe,allow
R93,ctx1,res398_write,allow
R76,ctx20,res491_write,allow
R45,ctx7,res37_write,allow
R33,ctx1,res132_exe,allow
R21,ctx15,res183_write,allow
R55,ctx20,res351_write,allow
R94,ctx12,res139_write,allow
R67,ctx20,res171_exe,allow
R18,ctx3,res110_exe,allow
R76,ctx20,res491_exe,allow
R19,ctx16,res256_exe,allow
R21,ctx14,res148_exe,allow
R29,ctx19,res17_exe,deny
R14,ctx18,res69_read,deny
R59,ctx15,res210_exe,deny
R12,ctx8,res151_exe,allow
R30,ctx3,res20_exe,allow
R42,ctx17,res104_write,allow
R16,ctx15,res88_exe,deny
R82,ctx9,res337_exe,allow
R67,ctx2,res70_exe,allow
R90,ctx16,res292_write,deny
R62,ctx14,res380_exe,allow
R88,ctx6,res75_write,allow
R37,ctx15,res60_exe,allow
R63,ctx9,res75_exe,allow
R84,ctx1,res286_read,allow
R32,ctx20,res413_exe,allow
R57,ctx1,res472_read,allow
R18,ctx15,res465_exe,allow
R94,ctx12,res139_exe,allow
R83,ctx6,res42_exe,allow
R81,ctx18,res89_read,allow
R33,ctx13,res116_exe,allow
R49,ctx3,res203_exe,allow
R61,ctx11,res278_exe,allow
R95,ctx17,res254_exe,allow
R99,ctx8,res376_write,allow
R58,ctx11,res167_read,allow
R34,ctx7,res453_exe,deny
R56,ctx20,res322_exe,allow
R75,ctx9,res455_write,allow
R62,ctx2,res449_exe,allow
R95,ctx16,res488_exe,allow
R49,ctx8,res331_write,allow
R71,ctx13,res453_read,deny
R37,ctx12,res150_exe,allow
R25,ctx13,res270_exe,allow
R100,ctx2,res159_exe,deny
R94,ctx3,res473_exe,deny
R24,ctx4,res223_write,allow
R38,ctx10,res468_exe,allow
R45,ctx16,res363_exe,deny
R91,ctx19,res65_exe,allow
R54,ctx2,res179_read,allow
R63,ctx8,res33_exe,allow
R73,ctx5,res212_exe,allow
R24,ctx2,res338_exe,deny
R39,ctx8,res112_exe,allow
R24,ctx5,res485_write,allow
R28,ctx15,res490_exe,allow
R87,ctx11,res495_write,allow
R15,ctx3,res332_exe,allow
R48,ctx15,res137_write,allow
R53,ctx17,res189_write,deny
R92,ctx12,res305_write,allow
R70,ctx5,res44_exe,allow
R33,ctx10,res263_read,allow
R66,ctx3,res97_read,allow
R25,ctx5,res297_read,deny
R47,ctx16,res187_exe,allow
R54,ctx7,res153_write,deny
R70,ctx7,res245_exe,allow
R70,ctx13,res432_exe,allow
R26,ctx3,res253_exe,deny
R13,ctx6,res6_exe,allow
R74,ctx7,res247_exe,allow
R15,ctx7,res319_exe,allow
R36,ctx14,res216_write,allow
R36,ctx7,res142_exe,deny
R66,ctx1,res434_exe,deny
R68,ctx14,res186_exe,allow
R11,ctx9,res167_exe,allow
R56,ctx9,res220_read,allow
R14,ctx7,res458_exe,allow
R84,ctx7,res388_write,allow
R79,ctx17,res152_read,deny
R48,ctx18,res55_write,allow
R67,ctx20,res171_write,allow
R80,ctx16,res294_read,deny
R14,ctx4,res315_exe,allow
R60,ctx1,res396_exe,deny
R56,ctx8,res154_read,allow
R21,ctx10,res214_read,allow
R43,ctx20,res364_exe,allow
R59,ctx14,res138_exe,allow
R85,ctx5,res288_write,allow
R98,ctx16,res182_exe,allow
R94,ctx1,res462_read,allow
R4,ctx5,res66_exe,deny
R33,ctx4,res101_read,allow
R10,ctx2,res158_exe,allow
R64,ctx6,res314_write,deny
R39,ctx3,res6_exe,allow
R68,ctx3,res35_exe,allow
R63,ctx12,res105_exe,allow
R11,ctx6,res143_exe,deny
R43,ctx5,res346_write,allow
R51,ctx10,res409_write,allow
R77,ctx5,res281_write,deny
R25,ctx14,res29_exe,allow
R55,ctx8,res471_exe,deny
R75,ctx4,res219_exe,allow
R38,ctx13,res364_exe,allow
R1,ctx19,res313_exe,allow
R36,ctx15,res104_write,allow
R61,ctx19,res80_exe,deny
R77,ctx20,res417_write,allow
R72,ctx8,res205_read,allow
R86,ctx5,res384_exe,allow
R42,ctx19,res381_write,allow
R26,ctx2,res236_write,allow
R30,ctx6,res492_exe,allow
R83,ctx5,res113_write,deny
R86,ctx19,res358_exe,allow
R72,ctx16,res144_exe,allow
R54,ctx13,res423_exe,allow
R23,ctx4,res155_exe,allow
R44,ctx6,res398_exe,allow
R53,ctx8,res227_write,allow
R40,ctx14,res79_write,deny
R68,ctx15,res142_exe,allow
R24,ctx1,res26_read,allow
R58,ctx13,res283_read,allow
R96,ctx18,res12_read,allow
R43,ctx3,res16_write,deny
R5,ctx3,res99_read,allow
R50,ctx19,res26_exe,deny
R64,ctx14,res426_read,allow
R10,ctx2,res158_write,deny
R62,ctx13,res281_write,allow
R13,ctx11,res219_read,deny
R81,ctx13,res214_read,deny
R15,ctx9,res267_exe,allow
R32,ctx15,res355_write,allow
R82,ctx14,res319_write,deny
R32,ctx11,res288_exe,allow
R42,ctx2,res271_exe,deny
R57,ctx13,res123_exe,allow
R39,ctx3,res6_write,allow
R90,ctx20,res307_write,allow
R68,ctx18,res423_exe,allow
R6,ctx20,res81_exe,allow
R14,ctx19,res80_exe,allow
R93,ctx10,res90_exe,allow
R47,ctx15,res100_exe,allow
R56,ctx19,res169_exe,allow
R6,ctx4,res348_write,allow
R26,ctx10,res107_exe,allow
R57,ctx2,res272_write,allow
R19,ctx19,res157_exe,allow
R18,ctx15,res465_write,allow
R7,ctx12,res186_write,allow
R70,ctx2,res127_exe,allow
R78,ctx2,res298_exe,allow
R23,ctx9,res271_read,deny
R62,ctx14,res380_write,deny
R42,ctx1,res359_write,allow
R70,ctx5,res44_write,allow
R64,ctx17,res1_write,allow
R7,ctx13,res119_write,allow
R57,ctx19,res260_write,allow
R80,ctx15,res451_exe,allow
R77,ctx6,res29_exe,allow
R86,ctx3,res120_exe,deny
R70,ctx16,res470_write,allow
R95,ctx8,res1_exe,allow
R90,ctx3,res450_write,allow
R72,ctx13,res160_exe,allow
R52,ctx13,res292_read,allow
R29,ctx11,res355_exe,deny
R24,ctx9,res277_exe,deny
R12,ctx19,res49_read,allow
R50,ctx6,res185_exe,deny
R9,ctx1,res161_read,allow
R58,ctx15,res241_write,allow
R3,ctx14,res37_exe,allow
R85,ctx15,res386_write,allow
R51,ctx16,res387_write,allow
R40,ctx19,res491_exe,allow
R73,ctx15,res377_read,deny
R96,ctx3,res10_read,allow
R93,ctx14,res232_exe,allow
R79,ctx20,res426_exe,allow
R47,ctx4,res74_exe,allow
R79,ctx12,res82_exe,allow
R33,ctx8,res60_write,allow
R82,ctx2,res64_exe,allow
R49,ctx3,res203_write,allow
R3,ctx12,res62_write,deny
R72,ctx2,res227_read,allow
R97,ctx1,res280_write,allow
R88,ctx10,res176_read,allow
R92,ctx5,res421_write,deny
R57,ctx7,res288_exe,allow
R31,ctx15,res321_exe,allow
R7,ctx6,res90_read,allow
R80,ctx14,res259_read,allow
R92,ctx9,res179_read,deny
R39,ctx19,res163_exe,deny
R36,ctx19,res105_read,allow
R73,ctx4,res129_exe,allow
R39,ctx6,res390_exe,allow
R4,ctx19,res459_exe,allow
R26,ctx5,res63_exe,deny
R69,ctx6,res370_write,allow
R48,ctx18,res55_exe,allow
R3,ctx16,res26_exe,allow
R92,ctx2,res114_read,allow
R66,ctx16,res476_exe,allow
R83,ctx5,res113_exe,allow
R30,ctx10,res187_exe,deny
R66,ctx9,res30_read,allow
R10,ctx14,res451_write,allow
R8,ctx20,res79_read,allow
R33,ctx6,res480_read,allow
R17,ctx13,res406_exe,allow
R67,ctx10,res315_write,deny
R34,ctx20,res19_read,allow
R5,ctx1,res325_exe,allow
R87,ctx9,res374_exe,allow
R29,ctx15,res331_exe,allow
R53,ctx18,res322_exe,deny
R79,ctx4,res460_write,allow
R24,ctx15,res96_write,deny
R6,ctx1,res420_exe,allow
R78,ctx1,res404_exe,allow
R38,ctx3,res393_exe,allow
R86,ctx18,res4_read,allow
R43,ctx15,res292_read,allow
R41,ctx10,res92_read,allow
R84,ctx8,res480_write,deny
R41,ctx15,res450_exe,allow
R7,ctx8,res380_write,deny
R23,ctx15,res421_exe,allow
R37,ctx2,res90_exe,allow
R34,ctx10,res378_read,deny
R87,ctx20,res371_read,allow
R80,ctx17,res95_read,allow
R48,ctx8,res369_write,allow
R16,ctx16,res483_exe,allow
R18,ctx20,res251_read,deny
R84,ctx11,res424_write,allow
R69,ctx11,res74_write,allow
R20,ctx9,res63_exe,allow
R100,ctx18,res21_exe,allow
R8,ctx11,res393_exe,allow
R100,ctx20,res82_read,allow
R95,ctx18,res447_write,allow
R58,ctx17,res123_read,deny
R20,ctx15,res259_exe,allow
R16,ctx12,res338_exe,allow
R37,ctx11,res481_write,allow
R41,ctx8,res129_exe,allow
R32,ctx16,res76_read,allow
R44,ctx11,res323_read,deny
R60,ctx11,res414_exe,allow
R90,ctx5,res340_exe,deny
R100,ctx5,res332_write,deny
R71,ctx7,res445_exe,deny
R49,ctx19,res297_exe,deny
R18,ctx14,res480_exe,allow
R77,ctx16,res386_write,allow
R83,ctx12,res90_read,allow
R7,ctx8,res380_exe,deny
R52,ctx15,res70_write,deny
R51,ctx6,res91_read,allow
R73,ctx4,res129_write,allow
R54,ctx15,res310_read,allow
R97,ctx4,res123_write,allow
R58,ctx7,res135_exe,allow
R94,ctx2,res138_exe,allow
R50,ctx18,res129_exe,deny
R37,ctx1,res313_write,allow
R13,ctx5,res410_exe,allow
R51,ctx11,res188_read,allow
R83,ctx3,res83_write,allow
R33,ctx14,res483_exe,allow
R50,ctx2,res143_exe,allow
R42,ctx15,res316_read,allow
R79,ctx4,res460_exe,allow
R37,ctx17,res451_write,allow
R57,ctx8,res493_read,allow
R15,ctx5,res300_exe,allow
R17,ctx18,res289_exe,allow
R29,ctx8,res479_write,allow
R1,ctx11,res354_write,allow
R25,ctx3,res300_exe,allow
R56,ctx3,res385_exe,allow
R78,ctx16,res275_read,allow
R69,ctx16,res339_write,deny
R12,ctx10,res362_exe,deny
R43,ctx20,res364_write,allow
R45,ctx1,res481_exe,allow
R33,ctx17,res107_write,allow
R14,ctx7,res458_write,allow
R44,ctx14,res347_exe,allow
R62,ctx1,res399_write,allow
R16,ctx7,res58_write,allow
R41,ctx4,res316_write,allow
R22,ctx7,res141_exe,deny
R81,ctx6,res457_exe,allow
R90,ctx5,res340_write,allow
R54,ctx19,res77_read,allow
R77,ctx13,res106_write,allow
R48,ctx14,res233_exe,allow
R5,ctx20,res252_write,deny
R33,ctx14,res483_write,allow
R63,ctx20,res421_read,allow
R32,ctx3,res162_exe,allow
R50,ctx2,res143_write,allow
R75,ctx20,res193_exe,deny
R42,ctx6,res101_read,deny
R92,ctx10,res195_read,allow
R51,ctx5,res148_write,allow
R1,ctx10,res73_read,allow
R54,ctx16,res90_read,allow
R85,ctx3,res240_exe,allow
R15,ctx3,res332_write,deny
R30,ctx7,res133_read,allow
R41,ctx19,res489_read,allow
R16,ctx6,res340_exe,allow
R7,ctx9,res374_read,allow
R80,ctx9,res218_write,deny
R45,ctx10,res269_read,allow
R56,ctx17,res177_exe,allow
R14,ctx5,res127_exe,allow
R93,ctx5,res164_write,allow
R90,ctx17,res91_read,allow
R83,ctx20,res99_exe,allow
R98,ctx20,res391_write,allow
R44,ctx5,res145_exe,deny
R13,ctx16,res197_read,allow
R67,ctx4,res72_read,allow
R10,ctx6,res167_read,allow
R6,ctx11,res128_write,allow
R29,ctx8,res479_exe,allow
R83,ctx14,res447_exe,allow
R20,ctx12,res240_write,allow
R96,ctx14,res260_exe,deny
R50,ctx18,res129_write,allow
R70,ctx11,res259_exe,allow
R74,ctx1,res366_read,allow
R14,ctx4,res315_write,allow
R85,ctx12,res176_write,allow
R69,ctx8,res386_write,allow
R54,ctx1,res223_write,allow
R76,ctx19,res271_exe,allow
R13,ctx10,res273_read,allow
R18,ctx19,res285_read,allow
R14,ctx6,res222_exe,deny
R29,ctx13,res392_read,allow
R29,ctx14,res349_exe,allow
R70,ctx10,res67_exe,deny
R23,ctx18,res220_exe,deny
R37,ctx17,res451_exe,allow
R43,ctx11,res444_exe,allow
R45,ctx12,res136_write,allow
R67,ctx15,res496_exe,allow
R89,ctx8,res38_exe,allow
R2,ctx13,res321_exe,allow
R52,ctx12,res55_exe,allow
R79,ctx16,res92_exe,allow
R5,ctx12,res408_write,deny
R69,ctx2,res498_read,allow
R1,ctx19,res313_write,allow
R19,ctx3,res13_read,allow
R89,ctx2,res24_exe,allow
R83,ctx18,res407_exe,allow
R84,ctx7,res388_exe,allow
R80,ctx18,res467_read,allow
R74,ctx12,res137_write,deny
R13,ctx2,res321_write,deny
R5,ctx18,res273_exe,allow
R42,ctx13,res50_exe,allow
R92,ctx20,res476_exe,allow
R41,ctx5,res204_read,allow
R49,ctx9,res482_write,allow
R43,ctx12,res435_exe,allow
R78,ctx12,res113_exe,allow
R94,ctx20,res366_write,allow
R50,ctx14,res189_exe,allow
R16,ctx2,res386_exe,allow
R67,ctx17,res481_exe,allow
R12,ctx4,res51_exe,allow
R99,ctx4,res29_exe,allow
R1,ctx8,res256_write,allow
R67,ctx18,res290_exe,deny
R96,ctx17,res38_exe,deny
R46,ctx1,res191_write,allow
R97,ctx17,res476_exe,allow
R35,ctx12,res474_exe,allow
R79,ctx11,res218_write,allow
R57,ctx17,res459_write,allow
R27,ctx16,res247_exe,allow
R93,ctx13,res475_exe,allow
R75,ctx1,res18_read,allow
R45,ctx11,res125_read,deny
R98,ctx20,res391_exe,deny
R99,ctx15,res112_exe,allow
R22,ctx14,res186_read,allow
R45,ctx15,res40_exe,allow
R71,ctx14,res432_exe,allow
R76,ctx16,res366_read,allow
R31,ctx15,res321_write,allow
R40,ctx4,res449_exe,deny
R33,ctx16,res494_read,allow
R93,ctx6,res346_exe,allow
R79,ctx7,res321_read,allow
R34,ctx3,res15_exe,allow
R10,ctx10,res374_exe,deny
R87,ctx18,res272_read,allow
R42,ctx9,res206_read,allow
R98,ctx7,res21_exe,deny
R48,ctx6,res344_exe,allow
R25,ctx8,res195_read,allow
R91,ctx16,res216_exe,allow
R83,ctx18,res407_write,allow
R25,ctx18,res92_read,deny
R44,ctx9,res238_exe,allow
R75,ctx14,res163_exe,allow
R31,ctx7,res111_read,allow
R52,ctx12,res55_write,allow
R78,ctx12,res113_write,deny
R4,ctx11,res169_read,allow
R57,ctx13,res123_write,deny
R89,ctx11,res47_exe,allow
R87,ctx10,res238_exe,allow
R12,ctx14,res134_read,allow
R93,ctx5,res164_exe,allow
