Role,Context,Capability,Permission
R98,ctx6,res31_exe,deny
R47,ctx19,res219_exe,deny
R63,ctx7,res403_exe,allow
R9,ctx4,res368_exe,allow
R40,ctx3,res280_exe,allow
R27,ctx14,res297_exe,allow
R30,ctx7,res176_exe,allow
R83,ctx12,res205_exe,allow
R3,ctx12,res334_exe,allow
R33,ctx9,res134_exe,allow
R22,ctx11,res492_exe,allow
R4,ctx17,res472_read,allow
R57,ctx2,res55_read,deny
R75,ctx11,res123_exe,allow
R85,ctx17,res328_exe,allow
R42,ctx19,res4_exe,allow
R4,ctx11,res405_exe,allow
R70,ctx9,res280_write,deny
R21,ctx18,res393_exe,allow
R10,ctx6,res365_write,allow
R59,ctx14,res451_exe,deny
R10,ctx6,res365_exe,allow
R71,ctx10,res242_read,allow
R37,ctx17,res37_exe,allow
R70,ctx5,res227_exe,allow
R29,ctx15,res422_exe,allow
R74,ctx9,res314_exe,allow
R66,ctx3,res157_read,allow
R100,ctx7,res237_write,allow
R100,ctx10,res343_read,deny
R21,ctx11,res361_exe,allow
R7,ctx20,res94_write,allow
R88,ctx11,res67_exe,allow
R20,ctx19,res262_exe,allow
R39,ctx5,res111_read,allow
R79,ctx16,res337_read,deny
R10,ctx9,res69_write,allow
R4,ctx2,res320_exe,allow
R90,ctx20,res269_exe,allow
R3,ctx16,res51_exe,allow
R10,ctx18,res251_read,allow
R26,ctx14,res240_read,deny
R87,ctx20,res330_read,allow
R18,ctx15,res71_write,allow
R76,ctx19,res284_read,allow
R4,ctx10,res362_write,allow
R3,ctx16,res152_write,allow
R50,ctx18,res32_read,allow
R9,ctx19,res7_exe,deny
R18,ctx3,res414_write,allow
R32,ctx13,res58_exe,deny
R90,ctx14,res472_exe,deny
R46,ctx14,res436_exe,allow
R76,ctx9,res27_exe,allow
R32,ctx11,res93_write,allow
R97,ctx15,res248_exe,allow
R77,ctx6,res284_exe,deny
R39,ctx2,res378_exe,allow
R59,ctx10,res10_exe,allow
R6,ctx7,res499_write,allow
R96,ctx10,res284_write,allow
R17,ctx18,res50_exe,allow
R66,ctx12,res389_write,allow
R72,ctx18,res337_read,allow
R10,ctx14,res500_exe,allow
R43,ctx20,res196_read,allow
R43,ctx19,res479_exe,deny
R5,ctx10,res123_exe,allow
R24,ctx19,res254_exe,allow
R43,ctx13,res482_exe,allow
R53,ctx19,res22_write,allow
R57,ctx2,res151_exe,allow
R35,ctx10,res44_read,deny
R36,ctx2,res280_exe,allow
R64,ctx7,res94_read,allow
R49,ctx8,res295_exe,allow
R33,ctx13,res357_read,allow
R47,ctx12,res106_read,allow
R46,ctx2,res312_exe,allow
R52,ctx8,res76_exe,allow
R66,ctx9,res334_exe,allow
R34,ctx14,res96_exe,allow
R32,ctx9,res198_exe,allow
R9,ctx4,res123_exe,allow
R7,ctx12,res2_write,deny
R87,ctx14,res488_exe,allow
R2,ctx20,res101_exe,allow
R66,ctx13,res287_exe,allow
R51,ctx11,res85_write,allow
R100,ctx1,res435_read,allow
R74,ctx9,res337_exe,deny
R70,ctx14,res65_exe,allow
R81,ctx7,res429_exe,allow
R91,ctx19,res254_write,allow
R31,ctx13,res346_write,allow
R65,ctx13,res46_exe,allow
R14,ctx13,res241_write,allow
R56,ctx8,res390_exe,allow
R31,ctx15,res129_exe,allow
R6,ctx2,res125_read,allow
R88,ctx14,res180_exe,allow
R1,ctx18,res378_read,allow
R5,ctx5,res142_exe,allow
R90,ctx5,res131_exe,allow
R46,ctx13,res239_exe,allow
R72,ctx1,res250_write,allow
R14,ctx2,res298_exe,allow
R73,ctx15,res309_exe,deny
R47,ctx5,res187_exe,allow
R69,ctx17,res148_exe,deny
R81,ctx6,res137_exe,allow
R24,ctx2,res451_write,deny
R51,ctx6,res115_read,allow
R16,ctx19,res157_exe,deny
R53,ctx6,res171_read,allow
R98,ctx20,res396_write,allow
R61,ctx4,res442_write,allow
R49,ctx9,res20_exe,allow
R61,ctx9,res102_exe,allow
R59,ctx9,res265_exe,allow
R83,ctx6,res401_read,allow
R59,ctx5,res28_exe,allow
R94,ctx13,res451_write,deny
R37,ctx9,res9_exe,allow
R56,ctx17,res374_exe,deny
R73,ctx20,res391_write,allow
R81,ctx14,res267_read,allow
R74,ctx13,res62_write,allow
R91,ctx14,res426_write,allow
R27,ctx19,res124_write,allow
R3,ctx16,res51_write,allow
R87,ctx7,res348_read,allow
R93,ctx13,res317_read,allow
R11,ctx17,res202_exe,allow
R95,ctx12,res379_exe,allow
R58,ctx17,res197_write,deny
R4,ctx19,res472_read,allow
R51,ctx19,res163_exe,allow
R20,ctx8,res230_write,allow
R38,ctx3,res365_exe,allow
R74,ctx7,res135_exe,allow
R7,ctx4,res351_exe,deny
R33,ctx4,res110_write,allow
R96,ctx16,res416_exe,allow
R92,ctx5,res433_write,allow
R10,ctx9,res69_exe,allow
R90,ctx12,res238_read,allow
R15,ctx10,res134_read,allow
R15,ctx5,res8_exe,deny
R77,ctx5,res270_exe,deny
R4,ctx10,res186_write,allow
R96,ctx16,res416_write,allow
R79,ctx1,res443_exe,allow
R20,ctx18,res5_exe,allow
R88,ctx14,res314_exe,allow
R82,ctx20,res90_read,deny
R21,ctx18,res15_read,allow
R76,ctx16,res204_exe,allow
R14,ctx20,res417_exe,allow
R83,ctx5,res366_read,allow
R80,ctx15,res258_write,allow
R59,ctx10,res10_write,allow
R47,ctx5,res428_exe,deny
R71,ctx13,res316_write,allow
R100,ctx2,res110_exe,allow
R53,ctx12,res182_exe,allow
R71,ctx7,res481_exe,allow
R80,ctx10,res131_exe,allow
R41,ctx15,res214_exe,allow
R8,ctx16,res262_read,deny
R29,ctx8,res323_exe,allow
R90,ctx17,res182_write,allow
R16,ctx16,res376_write,allow
R14,ctx20,res313_exe,allow
R17,ctx19,res428_write,allow
R63,ctx18,res28_read,allow
R64,ctx7,res121_exe,allow
R48,ctx15,res128_read,allow
R26,ctx7,res154_read,allow
R5,ctx2,res64_exe,allow
R12,ctx4,res326_write,allow
R95,ctx16,res366_exe,allow
R46,ctx15,res487_write,allow
R48,ctx17,res177_exe,allow
R80,ctx20,res6_exe,allow
R69,ctx8,res28_write,allow
R81,ctx6,res471_write,allow
R43,ctx12,res62_read,allow
R82,ctx16,res484_exe,allow
R50,ctx11,res404_exe,allow
R51,ctx8,res108_write,allow
R24,ctx2,res451_exe,allow
R97,ctx12,res88_exe,allow
R8,ctx16,res276_exe,deny
R74,ctx1,res430_exe,allow
R90,ctx12,res148_read,allow
R92,ctx12,res158_write,deny
R42,ctx8,res193_exe,allow
R63,ctx14,res15_exe,deny
R69,ctx7,res44_read,allow
R41,ctx6,res308_read,deny
R9,ctx14,res55_exe,allow
R68,ctx1,res337_write,allow
R80,ctx3,res463_exe,allow
R8,ctx16,res49_exe,allow
R50,ctx3,res106_write,allow
R11,ctx14,res464_read,allow
R71,ctx2,res108_exe,deny
R66,ctx17,res351_read,allow
R40,ctx17,res112_read,allow
R96,ctx10,res284_exe,allow
R80,ctx11,res452_read,allow
R84,ctx20,res11_write,deny
R3,ctx4,res449_exe,allow
R23,ctx13,res87_exe,allow
R85,ctx3,res75_exe,allow
R49,ctx2,res355_exe,deny
R29,ctx10,res287_exe,allow
R16,ctx18,res174_exe,allow
R74,ctx8,res371_exe,allow
R11,ctx20,res477_exe,allow
R79,ctx10,res355_read,allow
R93,ctx5,res486_exe,allow
R83,ctx14,res492_exe,deny
R20,ctx6,res345_exe,allow
R32,ctx11,res93_exe,allow
R95,ctx10,res29_exe,allow
R95,ctx18,res346_read,allow
R48,ctx20,res64_exe,allow
R92,ctx5,res448_read,allow
R61,ctx12,res105_write,allow
R12,ctx3,res227_exe,allow
R100,ctx19,res375_read,allow
R56,ctx15,res346_exe,allow
R78,ctx8,res365_exe,allow
R87,ctx14,res182_read,allow
R65,ctx14,res188_read,allow
R7,ctx6,res435_read,deny
R85,ctx17,res284_write,allow
R100,ctx18,res193_write,allow
R6,ctx17,res178_exe,allow
R71,ctx13,res466_exe,deny
R31,ctx19,res184_exe,deny
R83,ctx6,res139_exe,allow
R49,ctx3,res372_exe,deny
R97,ctx4,res412_exe,deny
R22,ctx17,res209_write,allow
R32,ctx15,res145_exe,allow
R91,ctx16,res160_write,deny
R13,ctx15,res51_write,allow
R16,ctx12,res10_write,allow
R50,ctx16,res140_write,allow
R93,ctx10,res74_read,allow
R94,ctx16,res497_read,allow
R72,ctx16,res481_exe,allow
R55,ctx20,res203_read,allow
R45,ctx17,res114_write,allow
R23,ctx10,res110_exe,allow
R75,ctx9,res45_write,allow
R94,ctx16,res126_exe,deny
R62,ctx2,res295_exe,allow
R11,ctx13,res192_write,allow
R70,ctx12,res352_exe,allow
R51,ctx9,res201_exe,allow
R37,ctx8,res276_read,allow
R72,ctx13,res223_read,allow
R26,ctx17,res89_exe,allow
R95,ctx17,res382_exe,allow
R12,ctx13,res281_exe,deny
R88,ctx6,res392_read,deny
R83,ctx5,res155_write,allow
R32,ctx18,res299_exe,allow
R14,ctx16,res107_read,allow
R44,ctx1,res219_exe,allow
R55,ctx7,res393_read,allow
R53,ctx8,res220_write,allow
R16,ctx6,res104_write,allow
R1,ctx3,res53_exe,allow
R23,ctx15,res451_exe,allow
R82,ctx9,res353_exe,allow
R50,ctx14,res376_exe,allow
R35,ctx17,res397_exe,allow
R11,ctx15,res462_exe,allow
R82,ctx6,res224_exe,allow
R9,ctx15,res444_exe,allow
R49,ctx2,res251_exe,allow
R67,ctx10,res22_exe,deny
R4,ctx5,res259_exe,allow
R35,ctx4,res123_exe,allow
R28,ctx18,res13_read,deny
R23,ctx4,res352_exe,deny
R54,ctx16,res320_exe,allow
R39,ctx2,res304_exe,allow
R15,ctx16,res448_write,allow
R11,ctx7,res71_exe,deny
R69,ctx1,res127_write,allow
R37,ctx17,res37_write,allow
R99,ctx15,res394_exe,allow
R47,ctx19,res2_write,deny
R60,ctx1,res219_exe,allow
R89,ctx8,res368_exe,allow
R38,ctx4,res332_exe,allow
R83,ctx5,res268_read,allow
R2,ctx16,res448_read,allow
R82,ctx2,res40_write,allow
R5,ctx16,res308_exe,allow
R92,ctx11,res360_exe,allow
R83,ctx20,res33_exe,allow
R3,ctx16,res462_read,allow
R5,ctx2,res110_exe,allow
R51,ctx2,res395_exe,deny
R79,ctx2,res368_exe,deny
R15,ctx9,res65_read,allow
R44,ctx2,res37_exe,allow
R32,ctx8,res483_exe,allow
R70,ctx4,res477_exe,deny
R60,ctx10,res324_exe,deny
R43,ctx3,res462_exe,allow
R81,ctx19,res387_exe,allow
R64,ctx17,res432_exe,deny
R93,ctx13,res165_exe,allow
R58,ctx9,res347_exe,deny
R4,ctx10,res321_exe,allow
R36,ctx18,res249_exe,allow
R33,ctx6,res41_write,deny
R83,ctx6,res139_write,allow
R76,ctx20,res488_exe,allow
R38,ctx18,res499_read,allow
R41,ctx15,res276_read,allow
R16,ctx7,res303_read,allow
R10,ctx5,res456_read,deny
R61,ctx20,res316_exe,deny
R53,ctx5,res207_write,allow
R100,ctx7,res237_exe,allow
R27,ctx15,res485_write,allow
R45,ctx1,res169_exe,allow
R75,ctx9,res257_write,deny
R95,ctx17,res395_exe,allow
R54,ctx19,res332_write,allow
R90,ctx5,res141_exe,allow
R56,ctx11,res152_write,allow
R8,ctx17,res248_exe,allow
R23,ctx20,res232_exe,deny
R95,ctx15,res183_exe,allow
R32,ctx14,res268_exe,allow
R91,ctx19,res173_exe,allow
R49,ctx3,res439_exe,allow
R29,ctx6,res111_exe,allow
R92,ctx13,res416_read,allow
R47,ctx7,res308_read,allow
R53,ctx10,res13_read,allow
R84,ctx8,res129_exe,allow
R83,ctx18,res457_exe,allow
R89,ctx18,res485_read,allow
R72,ctx6,res85_exe,allow
R97,ctx15,res407_write,deny
R77,ctx1,res466_exe,deny
R97,ctx19,res34_read,allow
R26,ctx7,res250_read,allow
R33,ctx19,res294_write,allow
R20,ctx1,res22_write,allow
R70,ctx8,res67_exe,deny
R98,ctx10,res96_exe,allow
