Id,Context,Capability,type,time_t
Id71,ctx4,res79_exe,AC,t
Id152,ctx4,res79_exe,AC,t
Id5,ctx13,res70_read,AC,t
Id49,ctx15,res64_write,AC,t
Id117,ctx4,res54_write,AC,t
Id17,ctx1,res13_write,AC,t
Id78,ctx15,res12_exe,AC,t
Id61,ctx8,res65_exe,AC,t
Id123,ctx7,res72_write,AC,t
Id329,ctx2,res15_exe,AC,t
Id3,ctx2,res60_write,AC,t
Id45,ctx2,res86_exe,AC,t
Id10,ctx19,res33_exe,AC,t
Id87,ctx4,res20_write,AC,t
Id241,ctx6,res43_exe,AC,t
Id80,ctx20,res84_write,AC,t
Id13,ctx3,res8_read,AC,t
Id27,ctx20,res73_write,AC,t
Id81,ctx2,res35_write,AC,t
Id332,ctx17,res27_exe,AC,t
Id55,ctx14,res10_read,AC,t
Id31,ctx11,res1_exe,AC,t
Id223,ctx10,res26_exe,AC,t
Id82,ctx6,res42_exe,AC,t
Id62,ctx18,res17_exe,AC,t
Id109,ctx16,res88_exe,AC,t
Id140,ctx5,res19_read,AC,t
Id103,ctx13,res66_exe,AC,t
Id171,ctx19,res79_write,AC,t
Id58,ctx19,res36_exe,AC,t
Id142,ctx12,res56_exe,AC,t
Id194,ctx19,res24_exe,AC,t
Id142,ctx12,res84_read,AC,t
Id14,ctx7,res32_exe,AC,t
Id261,ctx3,res79_exe,AC,t
Id113,ctx12,res57_exe,AC,t
Id73,ctx1,res26_read,AC,t
Id80,ctx20,res84_exe,AC,t
Id67,ctx18,res42_exe,AC,t
Id12,ctx6,res80_read,AC,t
Id132,ctx11,res8_read,AC,t
Id28,ctx20,res24_exe,AC,t
Id87,ctx4,res74_exe,AC,t
Id5,ctx6,res45_read,AC,t
Id71,ctx15,res27_read,AC,t
Id229,ctx19,res11_exe,AC,t
Id75,ctx9,res21_exe,AC,t
Id9,ctx1,res27_exe,AC,t
Id21,ctx7,res84_write,AC,t
Id63,ctx13,res47_exe,AC,t
Id125,ctx15,res21_exe,AC,t
Id3,ctx2,res60_exe,AC,t
Id178,ctx11,res36_read,AC,t
Id308,ctx9,res43_exe,AC,t
Id75,ctx3,res75_read,AC,t
Id81,ctx13,res27_read,AC,t
Id31,ctx19,res31_read,AC,t
Id12,ctx19,res49_exe,AC,t
Id96,ctx3,res23_write,AC,t
Id3,ctx19,res26_read,AC,t
Id276,ctx10,res8_read,AC,t
Id90,ctx9,res84_exe,AC,t
Id52,ctx16,res45_exe,AC,t
Id234,ctx10,res82_write,AC,t
Id57,ctx11,res47_read,AC,t
Id122,ctx14,res89_exe,AC,t
Id128,ctx5,res56_write,AC,t
Id82,ctx14,res57_exe,AC,t
Id198,ctx4,res14_write,AC,t
Id207,ctx19,res18_read,AC,t
Id30,ctx19,res81_exe,AC,t
Id148,ctx12,res83_write,AC,t
Id105,ctx4,res73_write,AC,t
Id2,ctx7,res18_exe,AC,t
Id56,ctx13,res5_exe,AC,t
Id8,ctx10,res26_write,AC,t
Id21,ctx7,res67_exe,AC,t
Id36,ctx17,res67_exe,AC,t
Id108,ctx12,res6_exe,AC,t
Id42,ctx18,res5_write,AC,t
Id38,ctx20,res13_write,AC,t
Id25,ctx4,res12_write,AC,t
Id13,ctx13,res82_exe,AC,t
Id5,ctx6,res2_write,AC,t
Id70,ctx17,res78_read,AC,t
Id305,ctx18,res31_exe,AC,t
Id8,ctx5,res24_write,AC,t
Id60,ctx17,res9_read,AC,t
Id56,ctx15,res26_write,AC,t
Id58,ctx14,res35_exe,AC,t
Id21,ctx9,res33_read,AC,t
Id111,ctx8,res89_exe,AC,t
Id136,ctx8,res56_exe,AC,t
Id6,ctx8,res20_write,AC,t
Id41,ctx10,res73_write,AC,t
Id50,ctx18,res66_exe,AC,t
Id317,ctx18,res49_exe,AC,t
Id69,ctx3,res44_exe,AC,t
Id12,ctx19,res60_read,AC,t
Id38,ctx8,res70_exe,AC,t
Id39,ctx16,res78_exe,AC,t
Id134,ctx2,res76_exe,AC,t
Id121,ctx7,res26_exe,AC,t
Id233,ctx2,res57_read,AC,t
Id39,ctx13,res12_exe,AC,t
Id222,ctx9,res64_read,AC,t
Id59,ctx12,res79_read,AC,t
Id174,ctx5,res83_exe,AC,t
Id8,ctx10,res26_exe,AC,t
Id42,ctx5,res42_read,AC,t
Id114,ctx13,res87_exe,AC,t
Id163,ctx6,res53_exe,AC,t
Id57,ctx11,res86_write,AC,t
Id77,ctx3,res35_write,AC,t
Id53,ctx3,res82_exe,AC,t
Id108,ctx10,res44_exe,AC,t
Id88,ctx7,res10_exe,AC,t
Id48,ctx11,res17_read,AC,t
Id16,ctx12,res43_exe,AC,t
Id265,ctx18,res89_exe,AC,t
Id10,ctx5,res48_exe,AC,t
Id140,ctx12,res1_read,AC,t
Id30,ctx2,res28_write,AC,t
Id177,ctx20,res39_read,AC,t
Id38,ctx20,res13_exe,AC,t
Id35,ctx18,res81_read,AC,t
Id307,ctx19,res27_read,AC,t
Id30,ctx19,res39_read,AC,t
Id143,ctx15,res77_exe,AC,t
Id183,ctx5,res86_write,AC,t
Id46,ctx16,res65_exe,AC,t
Id80,ctx6,res69_read,AC,t
Id30,ctx16,res38_write,AC,t
Id272,ctx14,res68_exe,AC,t
Id13,ctx13,res76_read,AC,t
Id29,ctx2,res39_write,AC,t
Id38,ctx14,res85_write,AC,t
Id165,ctx11,res66_exe,AC,t
Id10,ctx16,res84_exe,AC,t
Id32,ctx13,res36_read,AC,t
Id21,ctx10,res89_write,AC,t
Id50,ctx18,res54_exe,AC,t
Id39,ctx13,res12_write,AC,t
Id214,ctx12,res30_read,AC,t
Id42,ctx10,res43_exe,AC,t
Id5,ctx1,res89_exe,AC,t
Id68,ctx15,res52_write,AC,t
Id148,ctx12,res50_exe,AC,t
Id2,ctx8,res17_read,AC,t
Id229,ctx19,res5_exe,AC,t
Id83,ctx1,res8_exe,AC,t
Id153,ctx1,res3_exe,AC,t
Id43,ctx13,res41_write,AC,t
Id24,ctx13,res27_read,AC,t
Id9,ctx10,res79_read,AC,t
Id128,ctx5,res72_exe,AC,t
Id15,ctx8,res37_exe,AC,t
Id12,ctx4,res29_exe,AC,t
Id46,ctx18,res18_exe,AC,t
Id118,ctx20,res38_read,AC,t
Id95,ctx17,res76_write,AC,t
Id79,ctx20,res90_write,AC,t
Id5,ctx12,res12_exe,AC,t
Id23,ctx15,res54_exe,AC,t
Id143,ctx15,res44_read,AC,t
Id36,ctx17,res67_write,AC,t
Id25,ctx4,res88_read,AC,t
Id13,ctx20,res87_exe,AC,t
Id79,ctx8,res30_write,AC,t
Id174,ctx5,res83_write,AC,t
Id44,ctx1,res44_write,AC,t
Id187,ctx13,res40_write,AC,t
Id112,ctx1,res13_read,AC,t
Id18,ctx9,res55_read,AC,t
Id115,ctx5,res54_write,AC,t
Id27,ctx20,res73_exe,AC,t
Id112,ctx11,res18_exe,AC,t
Id108,ctx7,res27_exe,AC,t
Id206,ctx18,res34_read,AC,t
Id104,ctx13,res33_exe,AC,t
Id43,ctx1,res33_exe,AC,t
Id383,ctx15,res44_exe,AC,t
Id52,ctx9,res21_write,AC,t
Id123,ctx5,res8_read,AC,t
Id17,ctx1,res13_exe,AC,t
Id310,ctx9,res31_read,AC,t
Id24,ctx13,res67_write,AC,t
Id119,ctx14,res64_write,AC,t
Id178,ctx11,res14_exe,AC,t
Id19,ctx14,res11_exe,AC,t
Id5,ctx1,res89_write,AC,t
Id255,ctx17,res59_exe,AC,t
Id15,ctx1,res81_exe,AC,t
Id10,ctx16,res36_write,AC,t
Id74,ctx17,res86_exe,AC,t
Id52,ctx16,res65_exe,AC,t
Id86,ctx1,res81_write,AC,t
Id96,ctx20,res29_exe,AC,t
Id47,ctx7,res43_read,AC,t
Id35,ctx1,res57_exe,AC,t
Id188,ctx3,res68_exe,AC,t
