Id,Context,Capability,type,time_t
Id34,ctx7,res18_exe,AC,t
Id32,ctx2,res16_read,AC,t
Id32,ctx18,res2_exe,AC,t
Id32,ctx15,res9_exe,AC,t
Id11,ctx15,res6_exe,AC,t
Id62,ctx18,res11_write,AC,t
Id38,ctx8,res20_write,AC,t
Id86,ctx1,res1_write,AC,t
Id71,ctx4,res14_read,AC,t
Id215,ctx18,res16_read,AC,t
Id52,ctx8,res17_write,AC,t
Id152,ctx6,res10_write,AC,t
Id99,ctx7,res28_read,AC,t
Id75,ctx2,res18_exe,AC,t
Id276,ctx17,res15_read,AC,t
Id308,ctx9,res15_read,AC,t
Id103,ctx14,res17_exe,AC,t
Id96,ctx3,res26_write,AC,t
Id207,ctx20,res5_exe,AC,t
Id39,ctx16,res19_read,AC,t
Id86,ctx1,res1_exe,AC,t
Id109,ctx16,res26_exe,AC,t
Id75,ctx9,res3_exe,AC,t
Id29,ctx3,res21_write,AC,t
Id5,ctx1,res6_read,AC,t
Id78,ctx1,res23_exe,AC,t
Id152,ctx4,res12_exe,AC,t
Id153,ctx1,res17_exe,AC,t
Id408,ctx11,res8_write,AC,t
Id103,ctx13,res7_exe,AC,t
Id21,ctx5,res6_exe,AC,t
Id108,ctx10,res30_write,AC,t
Id214,ctx12,res2_exe,AC,t
Id7,ctx5,res15_write,AC,t
Id86,ctx1,res22_read,AC,t
Id10,ctx9,res27_write,AC,t
Id128,ctx16,res18_read,AC,t
Id40,ctx6,res3_exe,AC,t
Id40,ctx6,res15_write,AC,t
Id10,ctx19,res5_exe,AC,t
Id99,ctx7,res29_read,AC,t
Id276,ctx10,res22_exe,AC,t
Id8,ctx1,res18_read,AC,t
Id43,ctx1,res26_exe,AC,t
Id52,ctx9,res5_write,AC,t
Id45,ctx2,res28_read,AC,t
Id134,ctx2,res20_exe,AC,t
Id215,ctx18,res23_exe,AC,t
Id5,ctx6,res22_exe,AC,t
Id3,ctx19,res26_exe,AC,t
Id51,ctx11,res2_write,AC,t
Id22,ctx9,res19_write,AC,t
Id85,ctx14,res10_write,AC,t
Id111,ctx11,res3_write,AC,t
Id66,ctx6,res15_exe,AC,t
Id45,ctx3,res5_exe,AC,t
Id142,ctx12,res26_exe,AC,t
Id21,ctx10,res21_exe,AC,t
Id27,ctx20,res18_write,AC,t
Id44,ctx5,res11_exe,AC,t
Id32,ctx2,res18_write,AC,t
Id140,ctx5,res7_exe,AC,t
Id47,ctx5,res17_exe,AC,t
Id221,ctx4,res22_exe,AC,t
Id118,ctx6,res26_exe,AC,t
Id67,ctx17,res4_read,AC,t
Id22,ctx9,res19_exe,AC,t
Id104,ctx13,res13_write,AC,t
Id140,ctx12,res20_exe,AC,t
Id96,ctx3,res26_exe,AC,t
Id1,ctx10,res8_write,AC,t
Id110,ctx8,res27_exe,AC,t
Id52,ctx16,res4_read,AC,t
Id52,ctx8,res24_write,AC,t
Id90,ctx9,res22_write,AC,t
Id105,ctx4,res2_read,AC,t
Id82,ctx14,res17_exe,AC,t
Id77,ctx12,res14_read,AC,t
Id87,ctx4,res20_exe,AC,t
Id45,ctx8,res27_write,AC,t
Id132,ctx11,res16_read,AC,t
Id201,ctx2,res29_read,AC,t
Id13,ctx13,res2_exe,AC,t
Id144,ctx2,res20_write,AC,t
Id43,ctx13,res29_read,AC,t
Id6,ctx5,res16_write,AC,t
Id118,ctx20,res3_write,AC,t
Id9,ctx1,res22_exe,AC,t
Id2,ctx7,res23_exe,AC,t
Id79,ctx7,res5_write,AC,t
Id152,ctx4,res28_write,AC,t
Id194,ctx19,res20_exe,AC,t
Id104,ctx13,res13_exe,AC,t
Id158,ctx14,res9_exe,AC,t
Id52,ctx8,res17_exe,AC,t
Id206,ctx20,res12_read,AC,t
Id22,ctx9,res19_exe,AC,t
Id75,ctx3,res26_read,AC,t
Id77,ctx3,res5_write,AC,t
Id79,ctx7,res15_exe,AC,t
Id111,ctx11,res6_read,AC,t
Id8,ctx20,res18_read,AC,t
Id36,ctx18,res16_exe,AC,t
Id117,ctx4,res12_read,AC,t
Id304,ctx3,res15_exe,AC,t
Id114,ctx4,res8_exe,AC,t
Id5,ctx12,res27_exe,AC,t
Id99,ctx3,res1_exe,AC,t
Id39,ctx6,res10_write,AC,t
Id42,ctx18,res9_exe,AC,t
Id24,ctx19,res30_exe,AC,t
Id444,ctx14,res10_read,AC,t
Id58,ctx14,res29_write,AC,t
Id199,ctx6,res7_write,AC,t
Id224,ctx16,res2_write,AC,t
Id134,ctx2,res20_write,AC,t
Id258,ctx3,res25_write,AC,t
Id47,ctx5,res28_write,AC,t
Id80,ctx6,res15_exe,AC,t
Id95,ctx12,res9_exe,AC,t
Id46,ctx16,res13_exe,AC,t
Id19,ctx9,res27_exe,AC,t
Id56,ctx15,res16_exe,AC,t
Id33,ctx19,res4_write,AC,t
Id48,ctx11,res16_write,AC,t
Id222,ctx10,res25_write,AC,t
Id206,ctx18,res6_exe,AC,t
Id293,ctx8,res18_write,AC,t
