Role,Context,Capability,Permission
R8,ctx3,res58_read,deny
R7,ctx16,res62_exe,allow
R19,ctx17,res64_exe,allow
R3,ctx1,res53_exe,allow
R15,ctx19,res63_exe,allow
R16,ctx12,res9_exe,allow
R7,ctx10,res65_exe,allow
R16,ctx2,res28_read,deny
R9,ctx12,res64_exe,allow
R13,ctx16,res63_write,allow
R3,ctx14,res62_read,allow
R3,ctx10,res25_exe,deny
R6,ctx9,res57_read,allow
R19,ctx14,res53_read,allow
R8,ctx5,res49_read,allow
R13,ctx11,res15_exe,allow
R9,ctx10,res60_read,deny
R3,ctx20,res16_exe,allow
R17,ctx12,res67_exe,allow
R1,ctx20,res69_write,allow
R19,ctx10,res12_write,allow
R19,ctx12,res57_write,allow
R13,ctx2,res37_read,allow
R1,ctx10,res39_read,deny
R3,ctx11,res47_exe,allow
R6,ctx14,res44_write,allow
R15,ctx20,res20_read,deny
R3,ctx4,res24_exe,deny
R1,ctx20,res34_write,allow
R15,ctx1,res66_exe,allow
R2,ctx9,res63_exe,deny
R11,ctx5,res22_read,allow
R7,ctx8,res16_exe,allow
R5,ctx10,res54_exe,allow
R20,ctx7,res20_exe,allow
R2,ctx10,res57_read,allow
R8,ctx19,res63_read,allow
R10,ctx5,res14_write,allow
R11,ctx12,res66_exe,deny
R5,ctx9,res59_exe,allow
R19,ctx7,res29_exe,deny
R4,ctx5,res3_write,allow
R11,ctx11,res9_write,allow
R10,ctx7,res47_exe,allow
R20,ctx5,res21_write,allow
R18,ctx5,res66_write,allow
R9,ctx10,res43_write,allow
R13,ctx13,res64_exe,allow
R2,ctx17,res50_read,allow
R1,ctx4,res40_read,allow
R17,ctx18,res58_read,allow
R8,ctx13,res13_write,deny
R10,ctx17,res46_exe,deny
R1,ctx7,res21_write,deny
R9,ctx8,res14_read,allow
R19,ctx8,res39_write,allow
R19,ctx18,res31_exe,deny
R18,ctx5,res22_write,allow
R19,ctx19,res66_exe,allow
R14,ctx11,res29_read,deny
R15,ctx2,res56_exe,allow
R7,ctx16,res51_exe,allow
R17,ctx2,res40_exe,allow
R9,ctx4,res66_read,allow
R15,ctx4,res8_exe,allow
R14,ctx15,res34_write,deny
R12,ctx2,res51_read,allow
R19,ctx2,res1_exe,allow
R3,ctx6,res18_exe,allow
R12,ctx1,res42_read,allow
R15,ctx8,res26_read,allow
R6,ctx3,res31_write,allow
R15,ctx4,res52_write,allow
R14,ctx2,res10_exe,deny
R14,ctx19,res1_write,deny
R16,ctx4,res49_exe,allow
R8,ctx12,res22_exe,allow
R14,ctx4,res11_exe,allow
R10,ctx11,res60_write,deny
R2,ctx10,res15_exe,allow
R19,ctx15,res60_write,allow
R19,ctx16,res11_exe,allow
R13,ctx3,res36_exe,allow
R7,ctx1,res3_read,allow
R4,ctx16,res46_exe,allow
R15,ctx5,res4_read,allow
R3,ctx7,res45_exe,allow
R7,ctx17,res4_read,allow
R19,ctx6,res59_exe,allow
R17,ctx1,res17_write,allow
R20,ctx18,res10_exe,allow
R5,ctx7,res36_exe,allow
R18,ctx18,res26_exe,allow
R14,ctx1,res16_exe,allow
R7,ctx2,res53_exe,allow
