Role,Context,Capability,Permission
R3,ctx19,res1_read,allow
R7,ctx6,res2_read,allow
R10,ctx8,res10_write,allow
R14,ctx5,res8_write,allow
R17,ctx5,res8_exe,deny
R17,ctx11,res8_exe,allow
R12,ctx9,res7_write,allow
R19,ctx7,res3_write,allow
R9,ctx2,res2_read,deny
R6,ctx4,res5_write,allow
R13,ctx5,res1_exe,allow
R20,ctx13,res8_read,allow
R14,ctx18,res3_exe,deny
R9,ctx1,res4_write,allow
R20,ctx2,res8_exe,allow
R2,ctx11,res5_write,allow
R16,ctx7,res4_read,allow
R10,ctx3,res8_exe,allow
R14,ctx19,res9_exe,allow
R20,ctx15,res3_exe,allow
R18,ctx5,res4_write,allow
R8,ctx2,res5_exe,allow
R16,ctx10,res5_write,allow
R19,ctx5,res2_write,allow
R11,ctx5,res9_write,allow
R17,ctx12,res10_read,allow
R7,ctx4,res5_exe,deny
R7,ctx1,res10_exe,allow
R13,ctx16,res1_exe,allow
R10,ctx10,res1_write,allow
R3,ctx1,res7_exe,allow
R17,ctx1,res3_exe,allow
R20,ctx8,res4_exe,allow
R8,ctx17,res6_write,allow
R17,ctx8,res6_exe,allow
R7,ctx4,res6_exe,allow
R8,ctx3,res9_read,deny
R19,ctx20,res7_write,allow
R7,ctx16,res2_exe,allow
R10,ctx4,res3_exe,allow
R1,ctx15,res1_exe,allow
R10,ctx9,res2_read,allow
R18,ctx5,res4_exe,allow
R7,ctx15,res10_exe,allow
R4,ctx7,res4_exe,deny
R6,ctx4,res5_write,allow
R2,ctx13,res6_exe,deny
R2,ctx15,res10_exe,allow
R18,ctx1,res2_write,allow
R19,ctx5,res3_read,deny
R11,ctx14,res1_exe,allow
R3,ctx20,res10_write,allow
R19,ctx18,res6_exe,allow
R1,ctx17,res8_write,allow
R5,ctx10,res9_exe,allow
R17,ctx4,res1_exe,allow
R19,ctx7,res9_write,allow
R11,ctx16,res4_write,allow
R6,ctx16,res5_exe,allow
R8,ctx16,res10_read,deny
R5,ctx3,res9_read,allow
R19,ctx11,res8_exe,allow
R7,ctx16,res2_write,deny
R15,ctx3,res4_exe,allow
R13,ctx2,res10_write,allow
R3,ctx12,res1_read,allow
R19,ctx6,res3_write,allow
R3,ctx4,res6_exe,allow
R16,ctx15,res7_exe,allow
R3,ctx9,res2_exe,allow
R10,ctx9,res3_read,allow
R13,ctx20,res8_exe,allow
R15,ctx16,res8_exe,allow
R16,ctx12,res4_exe,allow
R14,ctx2,res2_write,allow
R4,ctx9,res6_exe,allow
R19,ctx16,res7_read,allow
R12,ctx14,res6_write,allow
R5,ctx5,res2_exe,deny
R3,ctx18,res10_exe,allow
R13,ctx3,res6_read,allow
R4,ctx5,res1_write,allow
R13,ctx12,res9_exe,allow
