Role,Context,Capability,Permission
R9,ctx13,res10_write,allow
R1,ctx8,res53_write,deny
R15,ctx2,res43_write,allow
R7,ctx10,res44_exe,allow
R4,ctx20,res23_read,allow
R1,ctx18,res49_exe,allow
R12,ctx20,res16_exe,allow
R9,ctx14,res19_write,allow
R10,ctx4,res3_exe,allow
R2,ctx9,res24_write,deny
R20,ctx6,res29_read,allow
R9,ctx11,res13_exe,allow
R3,ctx8,res32_read,allow
R12,ctx2,res29_write,allow
R17,ctx16,res55_read,allow
R6,ctx5,res44_exe,allow
R16,ctx14,res35_exe,deny
R7,ctx18,res30_write,deny
R9,ctx13,res28_write,allow
R18,ctx19,res43_exe,allow
R18,ctx12,res35_exe,allow
R7,ctx17,res43_write,allow
R13,ctx14,res60_exe,allow
R10,ctx19,res4_read,allow
R6,ctx18,res29_read,allow
R7,ctx8,res15_exe,allow
R3,ctx13,res21_write,allow
R4,ctx10,res25_write,allow
R16,ctx11,res22_exe,allow
R3,ctx2,res60_write,deny
R18,ctx8,res25_exe,deny
R19,ctx6,res41_exe,deny
R12,ctx14,res55_exe,allow
R17,ctx1,res25_exe,allow
R3,ctx19,res12_exe,allow
R2,ctx20,res1_write,allow
R14,ctx1,res56_exe,allow
R9,ctx16,res15_write,allow
R6,ctx1,res6_exe,deny
R11,ctx17,res51_read,deny
R16,ctx19,res46_exe,allow
R19,ctx7,res14_write,allow
R7,ctx14,res1_exe,allow
R7,ctx2,res51_write,allow
R18,ctx4,res7_read,allow
R8,ctx17,res50_exe,deny
R14,ctx14,res40_read,allow
R7,ctx10,res44_write,allow
R5,ctx14,res6_read,allow
R12,ctx12,res29_write,allow
R19,ctx2,res17_exe,allow
R11,ctx7,res51_write,allow
R3,ctx12,res18_read,allow
R3,ctx3,res12_read,allow
R5,ctx12,res24_exe,allow
R14,ctx15,res10_read,deny
R6,ctx15,res50_read,allow
R4,ctx10,res4_write,allow
R18,ctx3,res44_write,allow
R12,ctx16,res53_exe,allow
R9,ctx14,res58_exe,allow
R13,ctx5,res34_exe,allow
R14,ctx4,res23_write,allow
R11,ctx8,res39_write,allow
R5,ctx18,res20_exe,allow
R12,ctx1,res20_read,allow
R16,ctx20,res44_write,deny
R9,ctx12,res60_exe,allow
R5,ctx20,res43_exe,allow
R5,ctx11,res55_write,allow
R13,ctx3,res5_write,allow
R11,ctx6,res48_write,allow
R16,ctx14,res35_write,allow
R19,ctx13,res5_exe,allow
R15,ctx3,res34_read,allow
R20,ctx20,res49_exe,deny
R3,ctx11,res59_read,allow
R6,ctx3,res18_exe,allow
R17,ctx5,res29_exe,allow
R18,ctx20,res53_read,deny
R11,ctx2,res24_exe,allow
R4,ctx11,res56_exe,allow
R18,ctx10,res47_exe,allow
R6,ctx4,res40_exe,allow
R20,ctx1,res1_read,allow
R7,ctx12,res38_write,allow
R11,ctx19,res4_read,allow
R11,ctx11,res26_write,allow
R17,ctx6,res48_write,deny
R4,ctx18,res15_exe,allow
R2,ctx13,res15_exe,allow
R10,ctx4,res51_write,allow
R16,ctx10,res49_write,allow
R4,ctx12,res14_exe,allow
R3,ctx15,res14_exe,allow
R2,ctx2,res30_write,allow
R16,ctx10,res49_exe,allow
R10,ctx20,res30_read,deny
R7,ctx13,res40_exe,allow
R11,ctx16,res26_exe,allow
R14,ctx11,res39_exe,allow
R16,ctx13,res1_exe,allow
R19,ctx11,res57_exe,deny
R12,ctx15,res2_read,allow
R12,ctx11,res41_write,allow
R20,ctx13,res25_read,deny
R2,ctx17,res16_read,allow
R1,ctx10,res30_exe,deny
R17,ctx8,res10_exe,allow
R7,ctx3,res40_write,deny
R16,ctx12,res16_exe,allow
R11,ctx11,res26_exe,allow
R13,ctx8,res59_read,allow
R16,ctx2,res3_exe,allow
R15,ctx7,res35_exe,allow
R3,ctx14,res30_exe,deny
R15,ctx3,res25_read,allow
R4,ctx2,res32_write,deny
R9,ctx6,res39_write,allow
R12,ctx9,res33_read,allow
R5,ctx10,res38_read,allow
R17,ctx2,res54_exe,deny
R1,ctx6,res30_write,allow
R16,ctx4,res9_exe,deny
R13,ctx16,res21_read,allow
R11,ctx6,res30_read,allow
R13,ctx3,res1_exe,deny
R15,ctx9,res27_exe,allow
R19,ctx5,res37_exe,allow
R19,ctx6,res33_read,allow
R5,ctx6,res4_write,allow
R12,ctx7,res30_exe,allow
R6,ctx11,res13_write,allow
R18,ctx13,res30_exe,allow
R19,ctx9,res12_read,deny
R9,ctx8,res10_write,deny
R1,ctx19,res1_write,allow
R10,ctx6,res36_write,allow
R6,ctx19,res31_write,allow
R5,ctx1,res45_exe,allow
R15,ctx1,res2_write,allow
R9,ctx3,res4_write,allow
