Role,Context,Capability,Permission
R2,ctx4,res79_exe,allow
R10,ctx4,res79_exe,allow
R13,ctx13,res70_read,deny
R2,ctx15,res64_write,allow
R15,ctx4,res54_write,allow
R20,ctx1,res13_write,allow
R19,ctx15,res12_exe,allow
R15,ctx8,res65_exe,deny
R4,ctx7,res72_write,allow
R13,ctx2,res15_exe,allow
R18,ctx2,res60_write,allow
R19,ctx2,res86_exe,allow
R4,ctx19,res33_exe,deny
R4,ctx4,res20_write,allow
R1,ctx6,res43_exe,deny
R6,ctx20,res84_write,allow
R1,ctx3,res8_read,allow
R3,ctx20,res73_write,allow
R3,ctx2,res35_write,allow
R4,ctx17,res27_exe,allow
R13,ctx14,res10_read,allow
R10,ctx11,res1_exe,allow
R9,ctx10,res26_exe,deny
R10,ctx6,res42_exe,allow
R13,ctx18,res17_exe,allow
R20,ctx16,res88_exe,deny
R20,ctx5,res19_read,allow
R19,ctx13,res66_exe,allow
R19,ctx19,res79_write,allow
R15,ctx19,res36_exe,deny
R16,ctx12,res56_exe,allow
R5,ctx19,res24_exe,allow
R16,ctx12,res84_read,allow
R18,ctx7,res32_exe,allow
R2,ctx3,res79_exe,allow
R8,ctx12,res57_exe,allow
R14,ctx1,res26_read,allow
R6,ctx20,res84_exe,allow
R2,ctx18,res42_exe,allow
R20,ctx6,res80_read,allow
R4,ctx11,res8_read,deny
R18,ctx20,res24_exe,allow
R4,ctx4,res74_exe,deny
R6,ctx6,res45_read,allow
R11,ctx15,res27_read,deny
R7,ctx19,res11_exe,deny
R10,ctx9,res21_exe,allow
R9,ctx1,res27_exe,allow
R7,ctx7,res84_write,allow
R15,ctx13,res47_exe,allow
R7,ctx15,res21_exe,allow
R18,ctx2,res60_exe,allow
R15,ctx11,res36_read,allow
R6,ctx9,res43_exe,allow
R7,ctx3,res75_read,allow
R4,ctx13,res27_read,allow
R14,ctx19,res31_read,allow
R17,ctx19,res49_exe,allow
R3,ctx3,res23_write,allow
R8,ctx19,res26_read,allow
R3,ctx10,res8_read,allow
