Role,Context,Capability,Permission
R10,ctx18,res33_exe,allow
R16,ctx16,res39_write,allow
R19,ctx20,res36_exe,allow
R15,ctx13,res29_write,allow
R12,ctx4,res21_exe,allow
R18,ctx19,res6_write,allow
R14,ctx6,res40_exe,allow
R8,ctx13,res15_exe,deny
R4,ctx3,res38_exe,allow
R15,ctx11,res25_exe,allow
R10,ctx9,res38_read,deny
R4,ctx1,res25_exe,allow
R14,ctx10,res19_exe,allow
R11,ctx17,res18_read,allow
R2,ctx8,res37_write,allow
R15,ctx17,res21_write,allow
R19,ctx6,res37_exe,allow
R11,ctx10,res35_read,allow
R17,ctx17,res14_read,deny
R15,ctx10,res14_exe,allow
R13,ctx2,res11_write,allow
R6,ctx19,res35_exe,allow
R7,ctx12,res38_read,allow
R12,ctx13,res23_write,allow
R11,ctx19,res12_exe,allow
R11,ctx15,res18_exe,allow
R10,ctx8,res35_exe,allow
R13,ctx8,res35_exe,allow
R13,ctx1,res36_exe,deny
R12,ctx17,res21_exe,allow
R14,ctx19,res11_exe,allow
R16,ctx7,res9_read,deny
R4,ctx15,res8_exe,allow
R9,ctx10,res20_read,allow
R5,ctx14,res8_exe,deny
R7,ctx18,res33_read,deny
R2,ctx5,res4_exe,deny
R14,ctx14,res15_exe,allow
R8,ctx1,res8_write,allow
R13,ctx9,res2_exe,allow
R5,ctx17,res11_exe,allow
R3,ctx1,res24_write,deny
R13,ctx20,res37_read,allow
R9,ctx5,res36_exe,allow
R4,ctx17,res9_exe,allow
R10,ctx1,res26_write,allow
R4,ctx4,res22_exe,deny
R11,ctx19,res30_exe,allow
R5,ctx9,res31_exe,allow
R14,ctx18,res37_write,allow
R11,ctx14,res39_exe,deny
R17,ctx7,res16_read,allow
R17,ctx2,res4_read,deny
R16,ctx14,res35_exe,allow
R14,ctx16,res26_exe,allow
R10,ctx12,res7_exe,deny
R18,ctx7,res24_read,allow
R18,ctx1,res8_exe,allow
R5,ctx6,res3_write,allow
R19,ctx3,res4_exe,allow
R19,ctx3,res30_write,allow
R5,ctx6,res3_exe,allow
R3,ctx13,res36_exe,allow
R7,ctx9,res1_write,allow
R10,ctx18,res33_write,allow
R2,ctx10,res11_exe,allow
R18,ctx18,res1_exe,allow
R8,ctx2,res12_read,deny
R8,ctx6,res10_read,allow
R17,ctx12,res34_read,allow
R15,ctx18,res15_exe,allow
R3,ctx6,res2_write,allow
R5,ctx3,res33_exe,allow
R9,ctx4,res18_exe,allow
R4,ctx4,res8_write,allow
R11,ctx13,res11_exe,allow
R5,ctx1,res34_write,allow
R16,ctx20,res19_exe,allow
R13,ctx10,res1_exe,allow
R12,ctx5,res20_write,deny
R15,ctx18,res15_write,allow
R3,ctx12,res30_read,allow
R14,ctx20,res30_exe,deny
R10,ctx20,res21_exe,allow
R19,ctx15,res26_exe,allow
R17,ctx10,res28_write,allow
R9,ctx5,res9_write,deny
R8,ctx1,res8_write,deny
R7,ctx10,res5_write,allow
R15,ctx2,res3_exe,allow
R3,ctx3,res17_write,allow
R15,ctx1,res8_read,allow
R20,ctx17,res12_exe,allow
R10,ctx13,res1_exe,allow
R8,ctx2,res16_read,allow
R15,ctx5,res17_exe,allow
R18,ctx15,res37_write,deny
R18,ctx10,res32_exe,allow
R6,ctx13,res28_exe,allow
R3,ctx7,res21_read,allow
R2,ctx18,res14_exe,allow
R1,ctx8,res7_exe,allow
R2,ctx16,res27_write,allow
R10,ctx3,res34_exe,allow
R1,ctx7,res13_exe,allow
R13,ctx19,res38_exe,allow
R2,ctx20,res31_exe,allow
R20,ctx8,res5_write,allow
R18,ctx14,res11_read,allow
R20,ctx19,res2_write,allow
R7,ctx10,res31_write,deny
R19,ctx16,res28_read,deny
R1,ctx15,res23_write,allow
R14,ctx15,res18_exe,allow
R5,ctx10,res32_write,deny
R13,ctx13,res24_read,allow
R15,ctx5,res13_read,allow
R14,ctx19,res4_write,deny
R13,ctx3,res28_exe,allow
R2,ctx10,res25_exe,allow
R6,ctx7,res5_read,allow
R9,ctx13,res33_read,allow
